checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type
A14,12,A32,A41,1413.0,A64,A74,3.0,A93,A101,2.0,A122,55.0,A143,A152,1.0,A173,1,A191,A202,1
A14,9,A34,A43,3074.0,A65,A73,1.0,A93,A101,2.0,A121,33.0,A143,A152,2.0,A173,2,A191,A201,1
A14,36,A32,A43,3835.0,A65,A75,2.0,A92,A101,4.0,A121,45.0,A143,A152,1.0,A172,1,A192,A201,1
A11,27,A30,A49,5293.0,A61,A71,2.0,A93,A101,4.0,A122,50.0,A142,A152,2.0,A173,1,A192,A201,2
A13,30,A33,A49,1908.0,A61,A75,4.0,A93,A101,4.0,A121,66.0,A143,A152,1.0,A174,1,A192,A201,2
A14,36,A34,A43,3342.0,A65,A75,4.0,A93,A101,2.0,A123,51.0,A143,A152,1.0,A173,1,A192,A201,1
A12,6,A34,A48,932.0,A65,A74,1.0,A92,A101,3.0,A122,39.0,A143,A152,2.0,A172,1,A191,A201,1
A11,18,A30,A49,3104.0,A61,A74,3.0,A93,A101,1.0,A122,31.0,A141,A152,1.0,A173,1,A192,A201,1
A13,36,A32,A43,3913.0,A61,A73,2.0,A93,A101,2.0,A121,23.0,A143,A152,1.0,A173,1,A192,A201,1
A11,24,A32,A42,3021.0,A61,A73,2.0,A91,A101,2.0,A121,24.0,A143,A151,1.0,A172,1,A191,A201,1
A14,10,A32,A40,1364.0,A61,A73,2.0,A92,A101,4.0,A123,64.0,A143,A152,1.0,A173,1,A192,A201,1
A12,12,A32,A43,625.0,A61,A72,4.0,A94,A103,1.0,A121,26.0,A141,A152,1.0,A172,1,A191,A201,1
A11,12,A32,A46,1200.0,A65,A73,4.0,A92,A101,4.0,A122,23.0,A141,A151,1.0,A173,1,A192,A201,1
A14,12,A32,A43,707.0,A61,A73,4.0,A93,A101,2.0,A121,30.0,A141,A152,2.0,A173,1,A191,A201,1
A14,24,A33,A49,2978.0,A65,A73,4.0,A93,A101,4.0,A121,32.0,A143,A152,2.0,A173,2,A192,A201,1
A14,15,A32,A41,4657.0,A61,A73,3.0,A93,A101,2.0,A123,30.0,A143,A152,1.0,A173,1,A192,A201,1
A14,36,A30,A45,2613.0,A61,A73,4.0,A93,A101,2.0,A123,27.0,A143,A152,2.0,A173,1,A191,A201,1
A12,48,A32,A43,10961.0,A64,A74,1.0,A93,A102,2.0,A124,27.0,A141,A152,2.0,A173,1,A192,A201,2
A11,12,A32,A42,7865.0,A61,A75,4.0,A93,A101,4.0,A124,53.0,A143,A153,1.0,A174,1,A192,A201,2
A14,9,A32,A43,1478.0,A61,A74,4.0,A93,A101,2.0,A123,22.0,A143,A152,1.0,A173,1,A191,A201,2
A11,24,A32,A42,3149.0,A61,A72,4.0,A93,A101,1.0,A124,22.0,A141,A153,1.0,A173,1,A191,A201,1
A13,36,A32,A43,4210.0,A61,A73,4.0,A93,A101,2.0,A123,26.0,A143,A152,1.0,A173,1,A191,A201,2
A14,9,A32,A40,2507.0,A63,A75,2.0,A93,A101,4.0,A124,51.0,A143,A153,1.0,A172,1,A191,A201,1
A14,12,A32,A43,2141.0,A62,A74,3.0,A93,A101,1.0,A124,35.0,A143,A152,1.0,A173,1,A191,A201,1
A12,18,A32,A43,866.0,A61,A73,4.0,A94,A103,2.0,A121,25.0,A143,A152,1.0,A172,1,A191,A201,1
A14,4,A34,A43,1544.0,A61,A74,2.0,A93,A101,1.0,A121,42.0,A143,A152,3.0,A172,2,A191,A201,1
A11,24,A32,A43,1823.0,A61,A71,4.0,A93,A101,2.0,A123,30.0,A142,A152,1.0,A174,2,A191,A201,2
A12,6,A32,A40,14555.0,A65,A71,1.0,A93,A101,2.0,A122,23.0,A143,A152,1.0,A171,1,A192,A201,2
A12,21,A32,A49,2767.0,A62,A75,4.0,A91,A101,2.0,A123,61.0,A141,A151,2.0,A172,1,A191,A201,2
A14,12,A34,A43,1291.0,A61,A73,4.0,A92,A101,2.0,A122,35.0,A143,A152,2.0,A173,1,A191,A201,1
A11,30,A32,A43,2522.0,A61,A75,1.0,A93,A103,3.0,A122,39.0,A143,A152,1.0,A173,2,A191,A201,1
A11,24,A32,A40,915.0,A65,A75,4.0,A92,A101,2.0,A123,29.0,A141,A152,1.0,A173,1,A191,A201,2
A14,6,A32,A43,1595.0,A61,A74,3.0,A93,A101,2.0,A122,51.0,A143,A152,1.0,A173,2,A191,A201,1
A11,48,A30,A41,4605.0,A61,A75,3.0,A93,A101,4.0,A124,24.0,A143,A153,2.0,A173,2,A191,A201,2
A14,12,A34,A49,1185.0,A61,A73,3.0,A92,A101,2.0,A121,27.0,A143,A152,2.0,A173,1,A191,A201,1
A14,12,A31,A48,3447.0,A63,A73,4.0,A92,A101,3.0,A121,35.0,A143,A152,1.0,A172,2,A191,A201,1
A14,24,A32,A49,1258.0,A61,A74,4.0,A93,A101,1.0,A121,25.0,A143,A152,1.0,A173,1,A192,A201,1
A14,12,A34,A43,717.0,A61,A75,4.0,A93,A101,4.0,A121,52.0,A143,A152,3.0,A173,1,A191,A201,1
A14,6,A30,A40,1204.0,A62,A73,4.0,A93,A101,1.0,A124,35.0,A141,A151,1.0,A173,1,A191,A202,1
A13,24,A32,A42,1925.0,A61,A73,2.0,A93,A101,2.0,A121,26.0,A143,A152,1.0,A173,1,A191,A201,1
A14,18,A32,A43,433.0,A61,A71,3.0,A92,A102,4.0,A121,22.0,A143,A151,1.0,A173,1,A191,A201,2
A11,6,A34,A40,666.0,A64,A74,3.0,A92,A101,4.0,A121,39.0,A143,A152,2.0,A172,1,A192,A201,1
A13,12,A32,A42,2251.0,A61,A73,1.0,A92,A101,2.0,A123,46.0,A143,A152,1.0,A172,1,A191,A201,1
A12,30,A32,A40,2150.0,A61,A73,4.0,A92,A103,2.0,A124,24.0,A141,A152,1.0,A173,1,A191,A201,2
A14,24,A33,A42,4151.0,A62,A73,2.0,A93,A101,3.0,A122,35.0,A143,A152,2.0,A173,1,A191,A201,1
A12,9,A32,A42,2030.0,A65,A74,2.0,A93,A101,1.0,A123,24.0,A143,A152,1.0,A173,1,A192,A201,1
A12,60,A33,A43,7418.0,A65,A73,1.0,A93,A101,1.0,A121,27.0,A143,A152,1.0,A172,1,A191,A201,1
A14,24,A34,A43,2684.0,A61,A73,4.0,A93,A101,2.0,A121,35.0,A143,A152,2.0,A172,1,A191,A201,1
A11,12,A31,A43,2149.0,A61,A73,4.0,A91,A101,1.0,A124,29.0,A143,A153,1.0,A173,1,A191,A201,2
A14,15,A32,A41,3812.0,A62,A72,1.0,A92,A101,4.0,A123,23.0,A143,A152,1.0,A173,1,A192,A201,1
A14,11,A34,A43,1154.0,A62,A71,4.0,A92,A101,4.0,A121,57.0,A143,A152,3.0,A172,1,A191,A201,1
A11,12,A32,A42,1657.0,A61,A73,2.0,A93,A101,2.0,A121,27.0,A143,A152,1.0,A173,1,A191,A201,1
A11,24,A32,A43,1603.0,A61,A75,4.0,A92,A101,4.0,A123,55.0,A143,A152,1.0,A173,1,A191,A201,1
A11,18,A34,A40,5302.0,A61,A75,2.0,A93,A101,4.0,A124,36.0,A143,A153,3.0,A174,1,A192,A201,1
A14,12,A34,A46,2748.0,A61,A75,2.0,A92,A101,4.0,A124,57.0,A141,A153,3.0,A172,1,A191,A201,1
A14,10,A34,A40,1231.0,A61,A75,3.0,A93,A101,4.0,A121,32.0,A143,A152,2.0,A172,2,A191,A202,1
A12,15,A32,A43,802.0,A61,A75,4.0,A93,A101,3.0,A123,37.0,A143,A152,1.0,A173,2,A191,A201,2
A14,36,A34,A49,6304.0,A65,A75,4.0,A93,A101,4.0,A121,36.0,A143,A152,2.0,A173,1,A191,A201,1
A14,24,A32,A43,1533.0,A61,A72,4.0,A92,A101,3.0,A123,38.0,A142,A152,1.0,A173,1,A192,A201,1
A11,14,A32,A40,8978.0,A61,A75,1.0,A91,A101,4.0,A122,45.0,A143,A152,1.0,A174,1,A192,A202,2
A14,24,A32,A43,999.0,A65,A75,4.0,A93,A101,2.0,A123,25.0,A143,A152,2.0,A173,1,A191,A201,1
A14,18,A32,A40,2662.0,A65,A74,4.0,A93,A101,3.0,A122,32.0,A143,A152,1.0,A173,1,A191,A202,1
A14,12,A34,A42,1402.0,A63,A74,3.0,A92,A101,4.0,A123,37.0,A143,A151,1.0,A173,1,A192,A201,1
A12,48,A31,A40,12169.0,A65,A71,4.0,A93,A102,4.0,A124,36.0,A143,A153,1.0,A174,1,A192,A201,1
A12,48,A32,A43,3060.0,A61,A74,4.0,A93,A101,4.0,A121,28.0,A143,A152,2.0,A173,1,A191,A201,2
A11,30,A32,A45,11998.0,A61,A72,1.0,A91,A101,1.0,A124,34.0,A143,A152,1.0,A172,1,A192,A201,2
A14,9,A32,A43,2697.0,A61,A73,1.0,A93,A101,2.0,A121,32.0,A143,A152,1.0,A173,2,A191,A201,1
A14,18,A34,A43,2404.0,A61,A73,2.0,A92,A101,2.0,A123,26.0,A143,A152,2.0,A173,1,A191,A201,1
A11,12,A32,A42,1262.0,A65,A75,2.0,A91,A101,4.0,A122,49.0,A143,A152,1.0,A172,1,A192,A201,1
A14,6,A32,A42,4611.0,A61,A72,1.0,A92,A101,4.0,A122,32.0,A143,A152,1.0,A173,1,A191,A201,2
A14,24,A32,A43,1901.0,A62,A73,4.0,A93,A101,4.0,A123,29.0,A143,A151,1.0,A174,1,A192,A201,1
A14,15,A34,A41,3368.0,A64,A75,3.0,A93,A101,4.0,A124,23.0,A143,A151,2.0,A173,1,A192,A201,1
A14,12,A32,A42,1574.0,A61,A73,4.0,A93,A101,2.0,A121,50.0,A143,A152,1.0,A173,1,A191,A201,1
A13,18,A31,A43,1445.0,A65,A74,4.0,A93,A101,4.0,A123,49.0,A141,A152,1.0,A172,1,A191,A201,1
A14,15,A34,A42,1520.0,A65,A75,4.0,A93,A101,4.0,A122,63.0,A143,A152,1.0,A173,1,A191,A201,1
A12,24,A34,A40,3878.0,A62,A72,4.0,A91,A101,2.0,A123,37.0,A143,A152,1.0,A173,1,A192,A201,1
A11,47,A32,A40,10722.0,A61,A72,1.0,A92,A101,1.0,A121,35.0,A143,A152,1.0,A172,1,A192,A201,1
A11,48,A32,A41,4788.0,A61,A74,4.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,2,A191,A201,1
A12,48,A33,A410,7582.0,A62,A71,2.0,A93,A101,4.0,A124,31.0,A143,A153,1.0,A174,1,A192,A201,1
A12,12,A32,A43,1092.0,A61,A73,4.0,A92,A103,4.0,A121,49.0,A143,A152,2.0,A173,1,A192,A201,1
A11,24,A33,A43,1024.0,A61,A72,4.0,A94,A101,4.0,A121,48.0,A142,A152,1.0,A173,1,A191,A201,2
A14,12,A32,A49,1076.0,A61,A73,2.0,A94,A101,2.0,A121,26.0,A143,A152,1.0,A173,1,A192,A202,1
A12,36,A32,A41,9398.0,A61,A72,1.0,A94,A101,4.0,A123,28.0,A143,A151,1.0,A174,1,A192,A201,2
A11,24,A34,A41,6419.0,A61,A75,2.0,A92,A101,4.0,A124,44.0,A143,A153,2.0,A174,2,A192,A201,1
A13,42,A34,A41,4796.0,A61,A75,4.0,A93,A101,4.0,A124,56.0,A143,A153,1.0,A173,1,A191,A201,1
A14,48,A34,A49,7629.0,A65,A75,4.0,A91,A101,2.0,A123,46.0,A141,A152,2.0,A174,2,A191,A201,1
A12,48,A32,A42,9960.0,A61,A72,1.0,A92,A101,2.0,A123,26.0,A143,A152,1.0,A173,1,A192,A201,2
A14,12,A32,A41,4675.0,A65,A72,1.0,A92,A101,4.0,A123,20.0,A143,A151,1.0,A173,1,A191,A201,1
A14,10,A32,A40,1287.0,A65,A75,4.0,A93,A102,2.0,A122,45.0,A143,A152,1.0,A172,1,A191,A202,1
A14,18,A32,A42,2515.0,A61,A73,3.0,A93,A101,4.0,A121,43.0,A143,A152,1.0,A173,1,A192,A201,1
A12,21,A34,A42,2745.0,A64,A74,3.0,A93,A101,2.0,A123,32.0,A143,A152,2.0,A173,1,A192,A201,1
A14,6,A32,A40,672.0,A61,A71,1.0,A92,A101,4.0,A121,54.0,A143,A152,1.0,A171,1,A192,A201,1
A12,36,A30,A43,3804.0,A61,A73,4.0,A92,A101,1.0,A123,42.0,A143,A152,1.0,A173,1,A192,A201,2
A13,24,A34,A40,1344.0,A65,A74,4.0,A93,A101,2.0,A121,37.0,A141,A152,2.0,A172,2,A191,A201,2
A11,10,A34,A40,1038.0,A61,A74,4.0,A93,A102,3.0,A122,49.0,A143,A152,2.0,A173,1,A192,A201,1
A14,48,A34,A40,10127.0,A63,A73,2.0,A93,A101,2.0,A124,44.0,A141,A153,1.0,A173,1,A191,A201,2
A14,6,A32,A42,1543.0,A64,A73,4.0,A91,A101,2.0,A121,33.0,A143,A152,1.0,A173,1,A191,A201,1
A14,30,A32,A41,4811.0,A65,A74,2.0,A92,A101,4.0,A122,24.0,A142,A151,1.0,A172,1,A191,A201,1
A11,12,A32,A43,727.0,A62,A72,4.0,A94,A101,3.0,A124,33.0,A143,A152,1.0,A172,1,A192,A201,2
A12,8,A32,A42,1237.0,A61,A73,3.0,A92,A101,4.0,A121,24.0,A143,A152,1.0,A173,1,A191,A201,2
A12,9,A32,A40,276.0,A61,A73,4.0,A94,A101,4.0,A121,22.0,A143,A151,1.0,A172,1,A191,A201,1
A12,48,A32,A410,5381.0,A65,A71,3.0,A93,A101,4.0,A124,40.0,A141,A153,1.0,A171,1,A192,A201,1
A14,24,A32,A42,5511.0,A62,A73,4.0,A93,A101,1.0,A123,25.0,A142,A152,1.0,A173,1,A191,A201,1
A13,24,A32,A42,3749.0,A61,A72,2.0,A92,A101,4.0,A123,26.0,A143,A152,1.0,A173,1,A191,A201,1
A12,12,A32,A40,685.0,A61,A74,2.0,A94,A101,3.0,A123,25.0,A141,A152,1.0,A172,1,A191,A201,2
A13,4,A32,A40,1494.0,A65,A72,1.0,A93,A101,2.0,A121,29.0,A143,A152,1.0,A172,2,A191,A202,1
A11,36,A31,A42,2746.0,A61,A75,4.0,A93,A101,4.0,A123,31.0,A141,A152,1.0,A173,1,A191,A201,2
A11,12,A32,A42,708.0,A61,A73,2.0,A93,A103,3.0,A122,38.0,A143,A152,1.0,A172,2,A191,A201,1
A12,24,A32,A42,4351.0,A65,A73,1.0,A92,A101,4.0,A122,48.0,A143,A152,1.0,A172,1,A192,A201,1
A14,12,A34,A46,701.0,A61,A73,4.0,A93,A101,2.0,A123,32.0,A143,A152,2.0,A173,1,A191,A201,1
A11,15,A33,A42,3643.0,A61,A75,1.0,A92,A101,4.0,A122,27.0,A143,A152,2.0,A172,1,A191,A201,1
A12,30,A34,A40,4249.0,A61,A71,4.0,A94,A101,2.0,A123,28.0,A143,A152,2.0,A174,1,A191,A201,2
A11,24,A32,A43,1938.0,A61,A72,4.0,A91,A101,3.0,A122,32.0,A143,A152,1.0,A173,1,A191,A201,2
A11,24,A32,A41,2910.0,A61,A74,2.0,A93,A101,1.0,A124,34.0,A143,A153,1.0,A174,1,A192,A201,1
A11,18,A32,A42,2659.0,A64,A73,4.0,A93,A101,2.0,A123,28.0,A143,A152,1.0,A173,1,A191,A201,1
A14,18,A34,A40,1028.0,A61,A73,4.0,A92,A101,3.0,A121,36.0,A143,A152,2.0,A173,1,A191,A201,1
A11,8,A34,A40,3398.0,A61,A74,1.0,A93,A101,4.0,A121,39.0,A143,A152,2.0,A172,1,A191,A202,1
A14,12,A34,A42,5801.0,A65,A75,2.0,A93,A101,4.0,A122,49.0,A143,A151,1.0,A173,1,A192,A201,1
A14,24,A32,A40,1525.0,A64,A74,4.0,A92,A101,3.0,A123,34.0,A143,A152,1.0,A173,2,A192,A201,1
A13,36,A32,A43,4473.0,A61,A75,4.0,A93,A101,2.0,A123,31.0,A143,A152,1.0,A173,1,A191,A201,1
A12,6,A32,A43,1068.0,A61,A75,4.0,A93,A101,4.0,A123,28.0,A143,A152,1.0,A173,2,A191,A201,1
A11,24,A34,A41,6615.0,A61,A71,2.0,A93,A101,4.0,A124,75.0,A143,A153,2.0,A174,1,A192,A201,1
A14,18,A34,A46,1864.0,A62,A73,4.0,A92,A101,2.0,A121,30.0,A143,A152,2.0,A173,1,A191,A201,2
A12,60,A32,A40,7408.0,A62,A72,4.0,A92,A101,2.0,A122,24.0,A143,A152,1.0,A174,1,A191,A201,2
A14,48,A34,A41,11590.0,A62,A73,2.0,A92,A101,4.0,A123,24.0,A141,A151,2.0,A172,1,A191,A201,2
A11,24,A30,A42,4110.0,A61,A75,3.0,A93,A101,4.0,A124,23.0,A141,A151,2.0,A173,2,A191,A201,2
A11,6,A34,A42,3384.0,A61,A73,1.0,A91,A101,4.0,A121,44.0,A143,A151,1.0,A174,1,A192,A201,2
A12,13,A32,A43,2101.0,A61,A72,2.0,A92,A103,4.0,A122,23.0,A143,A152,1.0,A172,1,A191,A201,1
A11,15,A32,A44,1275.0,A65,A73,4.0,A92,A101,2.0,A123,24.0,A143,A151,1.0,A173,1,A191,A201,2
A11,24,A32,A42,4169.0,A61,A73,4.0,A93,A101,4.0,A122,28.0,A143,A152,1.0,A173,1,A191,A201,1
A12,10,A32,A42,1521.0,A61,A73,4.0,A91,A101,2.0,A123,31.0,A143,A152,1.0,A172,1,A191,A201,1
A12,24,A34,A46,5743.0,A61,A72,2.0,A92,A101,4.0,A124,24.0,A143,A153,2.0,A173,1,A192,A201,1
A11,21,A32,A42,3599.0,A61,A74,1.0,A92,A101,4.0,A123,26.0,A143,A151,1.0,A172,1,A191,A201,1
A12,18,A32,A43,3213.0,A63,A72,1.0,A94,A101,3.0,A121,25.0,A143,A151,1.0,A173,1,A191,A201,1
A12,18,A32,A49,4439.0,A61,A75,1.0,A93,A102,1.0,A121,33.0,A141,A152,1.0,A174,1,A192,A201,1
A13,10,A32,A40,3949.0,A61,A72,1.0,A93,A103,1.0,A122,37.0,A143,A152,1.0,A172,2,A191,A201,1
A14,15,A34,A43,1459.0,A61,A73,4.0,A92,A101,2.0,A123,43.0,A143,A152,1.0,A172,1,A191,A201,1
A12,13,A34,A43,882.0,A61,A72,4.0,A93,A103,4.0,A121,23.0,A143,A152,2.0,A173,1,A191,A201,1
A12,24,A32,A43,3758.0,A63,A71,1.0,A92,A101,4.0,A124,23.0,A143,A151,1.0,A171,1,A191,A201,1
A14,6,A33,A49,1743.0,A62,A73,1.0,A93,A101,2.0,A121,34.0,A143,A152,2.0,A172,1,A191,A201,1
A12,9,A34,A46,1136.0,A64,A75,4.0,A93,A101,3.0,A124,32.0,A143,A153,2.0,A173,2,A191,A201,2
A14,9,A32,A44,1236.0,A61,A72,1.0,A92,A101,4.0,A121,23.0,A143,A151,1.0,A173,1,A192,A201,1
A12,9,A32,A42,959.0,A61,A73,1.0,A92,A101,2.0,A123,29.0,A143,A152,1.0,A173,1,A191,A202,2
A14,18,A34,A41,3229.0,A65,A71,2.0,A93,A101,4.0,A124,38.0,A143,A152,1.0,A174,1,A192,A201,1
A11,12,A30,A43,6199.0,A61,A73,4.0,A93,A101,2.0,A122,28.0,A143,A151,2.0,A173,1,A192,A201,2
A14,10,A32,A46,727.0,A63,A75,4.0,A93,A101,4.0,A124,46.0,A143,A153,1.0,A173,1,A192,A201,1
A12,24,A32,A40,1246.0,A61,A72,4.0,A93,A101,2.0,A121,23.0,A142,A152,1.0,A172,1,A191,A201,2
A14,12,A34,A43,2331.0,A65,A75,1.0,A93,A102,4.0,A121,49.0,A143,A152,1.0,A173,1,A192,A201,1
A14,36,A33,A43,4463.0,A61,A73,4.0,A93,A101,2.0,A123,26.0,A143,A152,2.0,A174,1,A192,A201,2
A14,12,A32,A43,776.0,A61,A73,4.0,A94,A101,2.0,A121,28.0,A143,A152,1.0,A173,1,A191,A201,1
A11,30,A32,A42,2406.0,A61,A74,4.0,A92,A101,4.0,A121,23.0,A143,A151,1.0,A173,1,A191,A201,2
A12,18,A32,A46,1239.0,A65,A73,4.0,A93,A101,4.0,A124,61.0,A143,A153,1.0,A173,1,A191,A201,1
A13,12,A32,A43,3399.0,A65,A75,2.0,A93,A101,3.0,A123,37.0,A143,A152,1.0,A174,1,A191,A201,1
A13,12,A33,A40,2247.0,A61,A73,2.0,A92,A101,2.0,A123,36.0,A142,A152,2.0,A173,1,A192,A201,1
A14,6,A32,A42,1766.0,A61,A73,1.0,A94,A101,2.0,A122,21.0,A143,A151,1.0,A173,1,A191,A201,1
A11,18,A32,A42,2473.0,A61,A71,4.0,A93,A101,1.0,A123,25.0,A143,A152,1.0,A171,1,A191,A201,2
A14,12,A32,A49,1542.0,A61,A74,2.0,A93,A101,4.0,A123,36.0,A143,A152,1.0,A173,1,A192,A201,1
A14,18,A34,A41,3850.0,A61,A74,3.0,A93,A101,1.0,A123,27.0,A143,A152,2.0,A173,1,A191,A201,1
A11,18,A32,A42,3650.0,A61,A72,1.0,A92,A101,4.0,A123,22.0,A143,A151,1.0,A173,1,A191,A201,1
A11,36,A32,A42,3446.0,A61,A75,4.0,A93,A101,2.0,A123,42.0,A143,A152,1.0,A173,2,A191,A201,2
A12,18,A32,A42,3001.0,A61,A74,2.0,A92,A101,4.0,A121,40.0,A143,A151,1.0,A173,1,A191,A201,1
A14,36,A32,A40,3079.0,A65,A73,4.0,A93,A101,4.0,A121,36.0,A143,A152,1.0,A173,1,A191,A201,1
A14,18,A34,A43,6070.0,A61,A75,3.0,A93,A101,4.0,A123,33.0,A143,A152,2.0,A173,1,A192,A201,1
A14,10,A34,A42,2146.0,A61,A72,1.0,A92,A101,3.0,A121,23.0,A143,A151,2.0,A173,1,A191,A201,1
A14,60,A34,A40,13756.0,A65,A75,2.0,A93,A101,4.0,A124,63.0,A141,A153,1.0,A174,1,A192,A201,1
A12,60,A31,A410,14782.0,A62,A75,3.0,A92,A101,4.0,A124,60.0,A141,A153,2.0,A174,1,A192,A201,2
A11,48,A31,A49,7685.0,A61,A74,2.0,A92,A103,4.0,A123,37.0,A143,A151,1.0,A173,1,A191,A201,2
A14,18,A33,A43,2320.0,A61,A71,2.0,A94,A101,3.0,A121,34.0,A143,A152,2.0,A173,1,A191,A201,1
A14,7,A33,A43,846.0,A65,A75,3.0,A93,A101,4.0,A124,36.0,A143,A153,1.0,A173,1,A191,A201,1
A12,36,A32,A40,14318.0,A61,A75,4.0,A93,A101,2.0,A124,57.0,A143,A153,1.0,A174,1,A192,A201,2
A14,6,A34,A40,362.0,A62,A73,4.0,A92,A101,4.0,A123,52.0,A143,A152,2.0,A172,1,A191,A201,1
A11,20,A32,A42,2212.0,A65,A74,4.0,A93,A101,4.0,A123,39.0,A143,A152,1.0,A173,1,A192,A201,1
A12,18,A32,A41,12976.0,A61,A71,3.0,A92,A101,4.0,A124,38.0,A143,A153,1.0,A174,1,A192,A201,2
A14,22,A32,A40,1283.0,A65,A74,4.0,A92,A101,4.0,A122,25.0,A143,A151,1.0,A173,1,A191,A201,1
A13,12,A32,A40,1330.0,A61,A72,4.0,A93,A101,1.0,A121,26.0,A143,A152,1.0,A173,1,A191,A201,1
A14,30,A33,A49,4272.0,A62,A73,2.0,A93,A101,2.0,A122,26.0,A143,A152,2.0,A172,1,A191,A201,1
A14,18,A34,A43,2238.0,A61,A73,2.0,A92,A101,1.0,A123,25.0,A143,A152,2.0,A173,1,A191,A201,1
A14,18,A32,A43,1126.0,A65,A72,4.0,A92,A101,2.0,A121,21.0,A143,A151,1.0,A173,1,A192,A201,1
A12,18,A34,A42,7374.0,A61,A71,4.0,A93,A101,4.0,A122,40.0,A142,A152,2.0,A174,1,A192,A201,1
A12,15,A34,A49,2326.0,A63,A73,2.0,A93,A101,4.0,A123,27.0,A141,A152,1.0,A173,1,A191,A201,1
A14,9,A32,A49,1449.0,A61,A74,3.0,A92,A101,2.0,A123,27.0,A143,A152,2.0,A173,1,A191,A201,1
A14,18,A32,A40,1820.0,A61,A73,2.0,A94,A101,2.0,A122,30.0,A143,A152,1.0,A174,1,A192,A201,1
A12,12,A32,A42,983.0,A64,A72,1.0,A92,A101,4.0,A121,19.0,A143,A151,1.0,A172,1,A191,A201,1
A11,36,A32,A40,3249.0,A61,A74,2.0,A93,A101,4.0,A124,39.0,A141,A153,1.0,A174,2,A192,A201,1
A11,6,A34,A43,1957.0,A61,A74,1.0,A92,A101,4.0,A123,31.0,A143,A152,1.0,A173,1,A191,A201,1
A14,9,A34,A42,2406.0,A61,A71,2.0,A93,A101,3.0,A123,31.0,A143,A152,1.0,A174,1,A191,A201,1
A12,39,A33,A46,11760.0,A62,A74,2.0,A93,A101,3.0,A124,32.0,A143,A151,1.0,A173,1,A192,A201,1
A11,12,A32,A42,2578.0,A61,A71,3.0,A92,A101,4.0,A124,55.0,A143,A153,1.0,A174,1,A191,A201,1
A11,36,A34,A42,2348.0,A61,A73,3.0,A94,A101,2.0,A122,46.0,A143,A152,2.0,A173,1,A192,A201,1
A12,12,A32,A40,1223.0,A61,A75,1.0,A91,A101,1.0,A121,46.0,A143,A151,2.0,A173,1,A191,A201,2
A14,24,A34,A43,1516.0,A64,A73,4.0,A92,A101,1.0,A121,43.0,A143,A152,2.0,A172,1,A191,A201,1
A14,18,A32,A43,1473.0,A61,A72,3.0,A94,A101,4.0,A121,39.0,A143,A152,1.0,A173,1,A192,A201,1
A12,18,A34,A49,1887.0,A65,A73,4.0,A94,A101,4.0,A121,28.0,A141,A152,2.0,A173,1,A191,A201,1
A14,24,A33,A49,8648.0,A61,A72,2.0,A93,A101,2.0,A123,27.0,A141,A152,2.0,A173,1,A192,A201,2
A14,14,A33,A40,802.0,A61,A73,4.0,A93,A101,2.0,A123,27.0,A143,A152,2.0,A172,1,A191,A201,1
A12,18,A33,A40,2899.0,A65,A75,4.0,A93,A101,4.0,A123,43.0,A143,A152,1.0,A173,2,A191,A201,1
A12,24,A32,A43,2039.0,A61,A72,1.0,A94,A101,1.0,A122,22.0,A143,A152,1.0,A173,1,A192,A201,2
A14,24,A34,A41,2197.0,A65,A74,4.0,A93,A101,4.0,A123,43.0,A143,A152,2.0,A173,2,A192,A201,1
A11,15,A32,A43,1053.0,A61,A72,4.0,A94,A101,2.0,A121,27.0,A143,A152,1.0,A173,1,A191,A202,1
A14,24,A32,A43,3235.0,A63,A75,3.0,A91,A101,2.0,A123,26.0,A143,A152,1.0,A174,1,A192,A201,1
A13,12,A34,A40,939.0,A63,A74,4.0,A94,A101,2.0,A121,28.0,A143,A152,3.0,A173,1,A192,A201,2
A12,24,A32,A43,1967.0,A61,A75,4.0,A92,A101,4.0,A123,20.0,A143,A152,1.0,A173,1,A192,A201,1
A14,33,A34,A41,7253.0,A61,A74,3.0,A93,A101,2.0,A123,35.0,A143,A152,2.0,A174,1,A192,A201,1
A14,12,A34,A49,2292.0,A61,A71,4.0,A93,A101,2.0,A123,42.0,A142,A152,2.0,A174,1,A192,A201,2
A14,10,A32,A40,1597.0,A63,A73,3.0,A93,A101,2.0,A124,40.0,A143,A151,1.0,A172,2,A191,A202,1
A11,24,A32,A40,1381.0,A65,A73,4.0,A92,A101,2.0,A122,35.0,A143,A152,1.0,A173,1,A191,A201,2
A14,36,A34,A41,5842.0,A61,A75,2.0,A93,A101,2.0,A122,35.0,A143,A152,2.0,A173,2,A192,A201,1
A11,12,A32,A40,2579.0,A61,A72,4.0,A93,A101,1.0,A121,33.0,A143,A152,1.0,A172,2,A191,A201,2
A11,18,A33,A46,8471.0,A65,A73,1.0,A92,A101,2.0,A123,23.0,A143,A151,2.0,A173,1,A192,A201,1
A14,21,A32,A40,2782.0,A63,A74,1.0,A92,A101,2.0,A123,31.0,A141,A152,1.0,A174,1,A191,A201,1
A12,18,A32,A40,1042.0,A65,A73,4.0,A92,A101,2.0,A122,33.0,A143,A152,1.0,A173,1,A191,A201,2
